country,date,population,gdp_pc_pps,COAL,GAS,OIL,fossil_share,energy_per_capita_gwh,energy_per_capita_mwh
IT,2024-01-01,58971230,38862.9,NA,NA,NA,NA,NA,NA
LT,2018-01-01,2826200,24743.4,2010.97,20651.247,35889.143,64.27288321654565,0.03223341447880546,32.233414478805464
LT,2019-01-01,2812200,26379.1,1969.737,21682.968,35016.231,64.65662932629932,0.03226628369248275,32.26628369248275
LT,2020-01-01,2809977,26357.1,1565.296,22931.5,33534.683,65.37454242084581,0.0315901881047425,31.5901881047425
LT,2021-01-01,2810761,29259.5,1862.104,21821.128,33809.106,62.19708942224371,0.03288637383256705,32.886373832567045
LT,2022-01-01,2805998,31652.4,1836.25,14903.074,34366.631,61.613267168796874,0.02956037317204075,29.56037317204075
LT,2023-01-01,2857279,33029.2,1155.671,14512.986,36299.621,62.091637030777264,0.029292238874817616,29.292238874817617
LT,2024-01-01,2885891,34742.9,NA,NA,NA,NA,NA,NA
LU,2018-01-01,602005,78975.8,485.669,7950.633,33913.225,80.834958671783,0.08702604463418079,87.02604463418079
LU,2019-01-01,613894,78735.2,532.157,7955.588,34303.78,80.94345225991398,0.08611576265609372,86.11576265609372
LU,2020-01-01,626108,77882.3,440.263,7225.362,27846.454,76.96206116042978,0.07369705865441745,73.69705865441745
LU,2021-01-01,634730,87091.5,457.816,7789.807,29903.255,77.70261131182636,0.07735348730956469,77.3534873095647
LU,2022-01-01,645397,89574,472.229,6117.396,27225.14,76.16035150357997,0.06879398881618601,68.793988816186
LU,2023-01-01,660809,92209.7,264.919,5732.4,26218.141,75.06575587096005,0.06494512029951166,64.94512029951166
LU,2024-01-01,672050,96163.7,NA,NA,NA,NA,NA,NA
LV,2018-01-01,1934379,20227.7,526.065,13595.973,18495.651,58.51164249816923,0.02881836444667772,28.818364446677723
LV,2019-01-01,1919968,20946.3,456.838,12831.67,17966.398,57.82336902920349,0.02815274942082368,28.152749420823678
LV,2020-01-01,1907675,20909.5,267.09,10586.321,16581.872,54.09014687013999,0.026588075012777334,26.588075012777335
LV,2021-01-01,1893223,23540.3,199.636,11212.477,17388.17,54.06431536636727,0.028137420155998526,28.137420155998527
LV,2022-01-01,1875757,24956.6,130.575,8045.615,17514.269,50.54776049383945,0.02709526287253626,27.09526287253626
LV,2023-01-01,1883008,27063.7,130.214,7979.784,18474.598,52.15235357231788,0.027070980580008158,27.070980580008158
LV,2024-01-01,1871882,28030.6,NA,NA,NA,NA,NA,NA
MT,2018-01-01,474837,32635.5,0,3406.72,5292.091,88.34425617323852,0.020736574866743747,20.736574866743748
MT,2019-01-01,492968,33378.1,0,3561.157,5715.193,88.49924359661628,0.02126272090683371,21.26272090683371
MT,2020-01-01,514855,31947.2,0,3701.163,4067.152,87.7616941839109,0.017192415340241428,17.19241534024143
MT,2021-01-01,516125,36233.2,0,3711.332,4401.514,87.26186057262636,0.01801332429159603,18.013324291596028
MT,2022-01-01,520174,37857.9,0,3754.073,5529.204,86.99988857074122,0.020513226343492754,20.513226343492754
MT,2023-01-01,542051,40871.6,0,3921.208,5625.521,87.03261942436868,0.02023635967833285,20.23635967833285
MT,2024-01-01,563443,43242,NA,NA,NA,NA,NA,NA
NL,2018-01-01,17181084,39881.5,96091.794,357521.68,368844.806,90.69115614849564,0.052783523495956365,52.783523495956366
NL,2019-01-01,17282163,40543.6,74707.481,372866.969,351165.903,90.1177566560817,0.05128580265097604,51.285802650976045
NL,2020-01-01,17407585,39983.4,47785.078,365816.802,321933.055,87.96027730339848,0.048037255885868144,48.03725588586814
NL,2021-01-01,17475415,43738.4,65091.112,350774.82,331091.342,86.47532129850619,0.04942834605072326,49.428346050723256
NL,2022-01-01,17590672,48359,64249.458,271704.519,326512.47,84.69714191875875,0.044464427055430286,44.464427055430285
NL,2023-01-01,17811291,49966.9,43990.405,257999.618,335218.123,83.88515721143919,0.042648208936679546,42.648208936679545
NL,2024-01-01,17942942,53220.9,NA,NA,NA,NA,NA,NA
PL,2018-01-01,37976687,21942.4,572778.42,187523.32,358143.919,87.44496188280857,0.03367929719619829,33.67929719619829
PL,2019-01-01,37972812,23345.3,509869.725,188730.587,364025.183,86.13903484923068,0.032486840110761354,32.48684011076136
PL,2020-01-01,37958138,23914.3,475838.038,202831.135,342344.758,85.26786969626795,0.03154578612365022,31.54578612365022
PL,2021-01-01,37073357,26195.3,533979.883,212022.84,363727.674,87.07074028783586,0.03437821568195187,34.378215681951865
PL,2022-01-01,36889761,28149.4,490153.472,174961.731,382856.984,86.26131468269435,0.0329327382467997,32.9327382467997
PL,2023-01-01,36753736,29572.1,395861.441,183325.345,384233.292,84.33883711505456,0.03108039952727527,31.08039952727527
PL,2024-01-01,36620970,31361.7,NA,NA,NA,NA,NA,NA
PT,2018-01-01,10335770,23545.5,31356.869,58655.555,119100.029,74.81034212316814,0.027044279719846707,27.044279719846706
PT,2019-01-01,10333496,24462.2,14515.93,61670.024,125871.061,72.67658366956852,0.02690494775437083,26.90494775437083
PT,2020-01-01,10375395,22780.1,6579.493,60523.117,104070.797,68.776622636736107,0.023987821572094364,23.987821572094365
PT,2021-01-01,10394297,24548.3,2274.801,57833.05,106338.072,66.43052620387853,0.024105178253036257,24.105178253036257
PT,2022-01-01,10421117,27836.4,79.402,56033.418,119527.464,66.86158820911275,0.025207697025184536,25.207697025184537
PT,2023-01-01,10516621,30766.2,60.86,44415.641,117587.75,63.08348002601932,0.02442841897601901,24.42841897601901
PT,2024-01-01,10639726,32375.2,NA,NA,NA,NA,NA,NA
RO,2018-01-01,19533481,20051.1,58696.066,115629.876,113055.413,73.55990350833216,0.02000035907578378,20.00035907578378
RO,2019-01-01,19414458,21850.1,56910.63,107749.801,115019.929,72.42294252079049,0.019891179346855834,19.891179346855836
RO,2020-01-01,19328838,21929.6,40494.786,112625.53,112131.662,70.78292658093355,0.019387614247685245,19.387614247685246
RO,2021-01-01,19201662,24043.8,47038.455,115671.019,122255.687,71.45481133860498,0.020769281377830733,20.769281377830733
